#;NAME;PSRJ;RAJ;DECJ;P0;P1;DM;DM1;RM;T0;DIST;DIST_DM;R_LUM;R_LUM14;AGE;BSURF;EDOT;EDOTD2;
;;;(hms);(dms);(s);;(cm^-3pc);(cm^-3pc/yr);(radm^-2);(MJD);(kpc);(kpc);(mJykpc^2);(mJykpc^2);(Yr);(G);(ergs/s);(ergs/kpc^2/s);
1;J0002+6216;J0002+6216;00:02:58.1;+62:16:09.4;0.115364;5.97e-15;218.60;*;*;*;6.357;6.357;*;8.89e-01;3.06e+05;8.40e+11;1.53e+35;3.80e+33;
2;J0006+1834;J0006+1834;00:06:04.8;+18:34:59;0.693748;2.10e-15;11.41;*;-20.00;*;0.860;0.860;1.48e-01;*;5.24e+06;1.22e+12;2.48e+32;3.35e+32;
3;J0007+7303;J0007+7303;00:07:01.7;+73:03:07.4;0.315873;3.60e-13;*;*;*;*;1.400;*;*;*;1.39e+04;1.08e+13;4.51e+35;2.30e+35;
4;J0011+08;J0011+08;00:11:34;+08:10;2.552870;*;24.90;*;*;*;5.399;5.399;*;*;*;*;*;*;
5;J0012+5431;J0012+5431;00:12:23.3;+54:31:47;3.025301;1.28e-16;131.30;*;*;*;5.425;5.425;*;*;3.74e+08;6.30e+11;1.83e+29;6.21e+27;
6;B0011+47;J0014+4746;00:14:17.7;+47:46:33.4;1.240699;5.64e-16;30.41;*;-15.56;*;1.776;1.776;4.42e+01;9.46e+00;3.48e+07;8.47e+11;1.17e+31;3.70e+30;
7;J0021-0909;J0021-0909;00:21:51.4;-09:09:58.7;2.314131;1.04e-15;25.20;*;-15.00;*;25.000;25.000;*;8.38e+01;3.53e+07;1.57e+12;3.31e+30;5.30e+27;
8;J0023+0923;J0023+0923;00:23:16.8;+09:23:23.8;0.003050;1.14e-20;14.32;*;-5.10;*;1.818;1.247;9.59e+00;2.41e+00;4.23e+09;1.89e+08;1.59e+34;4.81e+33;
9;J0024-7204aa;J0024-7204aa;00:24:05.6;-72:04:52.6;0.001840;*;24.97;*;*;*;4.521;2.688;*;*;*;*;*;*;
10;J0024-7204ab;J0024-7204ab;00:24:08.1;-72:04:47.6;0.003705;9.82e-21;24.37;*;*;*;4.521;2.540;*;*;5.98e+09;1.93e+08;7.62e+33;3.73e+32;
11;J0024-7204ac;J0024-7204ac;00:24:05.6;-72:04:05;0.002740;*;24.46;*;*;*;4.521;2.562;*;3.11e+00;*;*;*;*;
12;J0024-7204ad;J0024-7204ad;00:24:05.6;-72:04:05;0.003740;*;24.41;*;*;*;4.521;2.551;*;1.72e+00;*;*;*;*;
13;B0021-72C;J0024-7204C;00:23:50.3;-72:04:31.5;0.005757;-4.99e-20;24.60;*;27.00;*;4.521;2.594;3.13e+01;1.06e+01;*;*;*;*;
14;B0021-72D;J0024-7204D;00:24:13.8;-72:04:43.8;0.005358;-3.42e-21;24.74;*;28.00;*;4.521;2.631;1.94e+01;7.15e+00;*;*;*;*;
15;B0021-72E;J0024-7204E;00:24:11.1;-72:05:20.1;0.003536;9.85e-20;24.24;*;*;51001.7900;4.521;2.509;*;*;5.69e+08;5.97e+08;8.79e+34;4.30e+33;
16;B0021-72F;J0024-7204F;00:24:03.8;-72:04:42.8;0.002624;6.45e-20;24.38;*;*;*;4.521;2.543;*;*;6.44e+08;4.16e+08;1.41e+35;6.90e+33;
17;B0021-72G;J0024-7204G;00:24:07.9;-72:04:39.7;0.004040;-4.22e-20;24.44;*;*;*;4.521;2.556;*;*;*;*;*;*;
18;B0021-72H;J0024-7204H;00:24:06.7;-72:04:06.8;0.003210;-1.83e-21;24.37;*;*;51602.1863;4.521;2.541;*;*;*;*;*;*;
