col1_1,thresh_1,npix_1,tnpix_1,xmin_1,xmax_1,ymin_1,ymax_1,x_1,y_1,x2_1,y2_1,xy_1,errx2_1,erry2_1,errxy_1,a_1,b_1,theta_1,cxx_1,cyy_1,cxy_1,cflux_1,flux_1,cpeak_1,peak_1,xcpeak_1,ycpeak_1,xpeak_1,ypeak_1,flag_1,ra_1,dec_1,col1_2,thresh_2,npix_2,tnpix_2,xmin_2,xmax_2,ymin_2,ymax_2,x_2,y_2,x2_2,y2_2,xy_2,errx2_2,erry2_2,errxy_2,a_2,b_2,theta_2,cxx_2,cyy_2,cxy_2,cflux_2,flux_2,cpeak_2,peak_2,xcpeak_2,ycpeak_2,xpeak_2,ypeak_2,flag_2,ra_2,dec_2,Separation
0,64.16141510009766,15,15,1093,1107,0,0,1100.5292836676217,0.0,17.599492523615034,0.0833333,0.0,0.07577324092129518,3.317991813796778E-4,0.0,4.195174694061279,0.28867506980895996,0.0,0.056819818913936615,12.000004768371582,-0.0,1312.6875,2649.0,106.75,250.0,1100,0,1106,0,11,322.4383614451374,11.89829084146341,5,55.054630279541016,15,15,1092,1106,0,0,1096.5795816810512,0.0,22.11956461106748,0.0833333,0.0,0.0999595792710383,3.384870394404644E-4,0.0,4.703144073486328,0.28867506980895996,0.0,0.04520884528756142,12.000004768371582,-0.0,1115.1875,2306.0,91.6875,206.0,1099,0,1100,0,11,322.4391312633349,11.897822823665749,3.1925942393215485
1,64.16141510009766,9,9,1162,1170,0,0,1165.981551606952,0.0,6.160935822175755,0.0833333,0.0,0.0441972674342993,5.45596210961563E-4,0.0,2.4821231365203857,0.28867506980895996,0.0,0.16231299936771393,12.000004768371582,-0.0,792.9375,1622.0,99.8125,250.0,1166,0,1166,0,11,322.451856280385,11.893435371276816,71,55.054630279541016,10,10,1161,1170,0,0,1165.4231800766283,0.0,7.262622167428518,0.0833333,0.0,0.046526356204483456,4.649159044465147E-4,0.0,2.694925308227539,0.28867506980895996,0.0,0.13769131898880005,12.000004768371582,-0.0,776.9375,1580.0,98.75,258.0,1166,0,1166,0,11,322.4533252949841,11.892715796144882,5.7870924301509294
2,64.16141510009766,14,14,1143,1156,0,0,1148.5758957984897,0.0,14.586280309087222,0.0833333,0.0,0.05922837750048071,2.8715976949527966E-4,0.0,3.8191988468170166,0.28867506980895996,0.0,0.06855757534503937,12.000004768371582,-0.0,1363.1875,2707.0,122.5,334.0,1150,0,1150,0,11,322.448267659722,11.894726644054758,70,55.054630279541016,7,7,1135,1141,0,0,1138.3163499686782,0.0,3.4709161553156815,0.0833333,0.0,0.022965530131317285,4.5745429201107405E-4,0.0,1.863039493560791,0.28867506980895996,0.0,0.28810837864875793,12.000004768371582,-0.0,655.3125,1329.0,122.75,303.0,1137,0,1137,0,11,322.4477365284341,11.894726747767818,1.8710165719580047
3,64.16141510009766,8,8,1181,1188,0,0,1184.4920910829132,0.0,4.811803688366513,0.0833333,0.0,0.03773897771450794,5.896413929588395E-4,0.0,2.19358229637146,0.28867506980895996,0.0,0.2078222781419754,12.000004768371582,-0.0,719.125,1529.0,114.1875,274.0,1185,0,1185,0,10,322.4556726633893,11.892062080897386,72,55.054630279541016,10,8,1171,1178,0,1,1174.0486899893988,0.15894290474026956,4.7385803677734835,0.13368005777299516,-0.24876573434408544,0.02418717705187721,7.99307963140569E-4,-0.0015715348824556763,2.179903745651245,0.34681442379951477,-0.05381321161985397,0.23388250172138214,8.290473937988281,0.8704656958580017,825.375,1440.0,109.3125,257.0,1173,0,1173,0,3,322.4551156975937,11.892107945843309,1.9689780630737053
5,64.16141510009766,10,10,1864,1873,0,0,1868.4762431812792,0.0,7.3599075219597125,0.0833333,0.0,0.042856317115650105,4.285171781225888E-4,0.0,2.7129149436950684,0.28867506980895996,0.0,0.1358712762594223,12.000004768371582,-0.0,943.125,1904.0,113.875,248.0,1868,0,1869,0,11,322.59666456262175,11.841281845859477,15,55.054630279541016,5,5,1860,1864,0,0,1861.9265167364017,0.0,1.8206397101893503,0.0833333,0.0,0.027908773312159456,0.0011134221818466503,0.0,1.3493108749389648,0.28867506980895996,0.0,0.5492575168609619,12.000004768371582,-0.0,355.0,764.0,85.8125,203.0,1862,0,1862,0,11,322.5968984390046,11.841007438555021,1.2864366020740348
8,64.16141510009766,9,8,16,23,0,1,19.887918486171763,0.0797517811997242,4.633189668679172,0.07339143459519552,0.08869048156708775,0.030542479526883975,6.16985588482632E-4,8.734380882630426E-4,2.1528849601745605,0.267706960439682,0.019440725445747375,0.22094511985778809,13.948229789733887,-0.534005880355835,815.8125,1534.0,125.125,289.0,21,0,21,0,2,322.21549387706006,11.978379311135974,0,55.054630279541016,8,8,6,13,0,0,9.445811595629491,0.0,4.987154471709227,0.0833333,0.0,0.0356624127333278,5.568966463971451E-4,0.0,2.233193874359131,0.28867506980895996,0.0,0.20051515102386475,12.000004768371582,-0.0,634.9375,1311.0,105.3125,279.0,10,0,10,0,10,322.21491843017793,11.97837509101031,2.0265585024234882
11,64.16141510009766,10,10,57,66,0,0,61.408676933267095,0.0,7.860015822600275,0.0833333,0.0,0.04621564354710256,4.616760938499599E-4,0.0,2.803571939468384,0.28867506980895996,0.0,0.12722620368003845,12.000004768371582,-0.0,908.625,1793.0,106.25,251.0,59,0,62,0,11,322.2240535222844,11.975289922520552,18,55.054630279541016,10,9,54,62,0,1,58.47508690614137,0.0,6.847206946558984,0.1679506933744222,-0.6635953184257293,0.04681806739474089,0.001263516001429012,-0.0050225859129805666,2.6291630268096924,0.32040539383888245,-0.09807423502206802,0.23667213320732117,9.648921966552734,1.8702455759048462,730.125,1301.0,92.6875,223.0,58,0,58,0,11,322.2250331132268,11.97474607927422,3.966626772933408
12,64.16141510009766,30,23,550,576,0,1,564.9598002622819,0.0,48.92076715319217,0.16088116171095526,-1.0644206961525498,0.07406939702642179,3.1995204599840027E-4,-0.001998265157944145,6.995998382568359,0.3710203170776367,-0.021815989166498184,0.023878684267401695,7.261033535003662,0.31597191095352173,3163.4375,5459.0,160.75,371.0,568,0,568,0,11,322.3279206123232,11.937997049639412,43,55.054630279541016,26,21,558,584,0,1,567.4099262097346,0.0,36.95822146694576,0.1292267511322275,0.10956720287083455,0.07663523894774531,3.327877501495287E-4,3.2948442914442676E-4,6.079354286193848,0.35902756452560425,0.0029749905224889517,0.027125762775540352,7.757835865020752,-0.04599812254309654,2249.4375,3983.0,131.25,297.0,569,0,568,0,11,322.3300104135528,11.937054503298096,8.105046256167457
13,64.16141510009766,28,17,535,553,0,1,547.7228252381697,0.06106512572231766,28.086546432674027,0.2956469941754825,-1.3607440151944097,0.04875232579494383,5.470880801636895E-4,-0.0027695793600128033,5.305941581726074,0.4787263870239258,-0.048808034509420395,0.04582197591662407,4.353100299835205,0.4218001961708069,2982.4375,4294.0,152.8125,393.0,544,0,544,0,3,322.3243702374943,11.939286573581294,117,55.054630279541016,6,1,529,531,2,4,529.8646568893718,3.1055585732391817,0.38626308614980254,0.38175979572724206,-0.08303367128439465,0.0020061997495729334,0.0020178715509737892,-5.969504325148697E-4,0.6834293007850647,0.5485866069793701,-0.7718428373336792,2.7158925533294678,2.747929811477661,1.1814262866973877,690.375,855.0,207.0,811.0,530,3,530,3,0,322.3225021496492,11.940463085342614,7.824983757475426
14,64.16141510009766,26,23,122,143,0,1,132.46643884379895,0.0,37.99570067600783,0.111205533130326,0.014319255172275946,0.06581399242634145,2.609948332017216E-4,1.3925670496560972E-4,6.164065837860107,0.3334668278694153,3.779713006224483E-4,0.026320043951272964,8.99279499053955,-0.0067781419493258,2647.6875,4832.0,133.875,361.0,131,0,131,0,11,322.23871221732765,11.970029740356367,22,55.054630279541016,15,12,118,129,0,1,125.32845188284519,0.0,11.27439762092932,0.14807406267630918,-0.008013570589016528,0.04259040757476579,6.804102161317435E-4,3.3213887816763367E-6,3.3577377796173096,0.3847964406013489,-7.202347624115646E-4,0.08869994431734085,6.753636837005615,0.009600644931197166,1218.5625,2105.0,119.4375,257.0,124,0,120,0,11,322.2388244691059,11.969797185891807,0.9258374508903023
